wl,n
0.2100,1.163
0.2200,1.206
0.2300,1.265
0.2400,1.321
0.2500,1.360
0.2600,1.382
0.2700,1.400
0.2800,1.420
0.2900,1.440
0.3000,1.453
0.3100,1.454
0.3200,1.437
0.3300,1.401
0.3400,1.350
0.3500,1.292
0.3600,1.238
0.3700,1.193
0.3800,1.156
0.3900,1.126
0.4000,1.098
0.4100,1.072
0.4200,1.047
0.4300,1.024
0.4400,1.002
0.4500,0.980
0.4600,0.959
0.4700,0.937
0.4800,0.912
0.4900,0.883
0.5000,0.846
0.5100,0.798
0.5200,0.738
0.5300,0.667
0.5400,0.592
0.5500,0.519
0.5600,0.457
0.5700,0.409
0.5800,0.377
0.5900,0.357
0.6000,0.346
0.6100,0.339
0.6200,0.333
0.6300,0.327
0.6400,0.323
0.6500,0.320
0.6600,0.317
0.6700,0.314
0.6800,0.311
0.6900,0.308
0.7000,0.306
0.7100,0.305
0.7200,0.304
0.7300,0.302
0.7400,0.300
0.7500,0.298
0.7600,0.296
0.7700,0.294
0.7800,0.293
0.7900,0.293
0.8000,0.291
0.8100,0.287
0.8200,0.283
0.8300,0.280
0.8400,0.279
0.8500,0.278
0.8600,0.279
0.8700,0.279
0.8800,0.280
0.8900,0.284
0.9000,0.289
0.9100,0.293
0.9200,0.295
0.9300,0.298
0.9400,0.303
0.9500,0.308
0.9600,0.312
0.9700,0.315
0.9800,0.318
0.9900,0.321
1.0000,0.323
1.0100,0.327
1.0200,0.330
1.0300,0.333
1.0400,0.336
1.0500,0.339
1.0600,0.341
1.0700,0.343
1.0800,0.346
1.0900,0.348
1.1000,0.350
1.1100,0.354
1.1200,0.357
1.1300,0.361
1.1400,0.365
1.1500,0.368
1.1600,0.371
1.1700,0.374
1.1800,0.378
1.1900,0.381
1.2000,0.384
1.2100,0.385
1.2200,0.386
1.2300,0.388
1.2400,0.391
1.2500,0.395
1.2600,0.399
1.2700,0.403
1.2800,0.406
1.2900,0.410
1.3000,0.415
1.3100,0.420
1.3200,0.425
1.3300,0.431
1.3400,0.435
1.3500,0.439
1.3600,0.443
1.3700,0.448
1.3800,0.453
1.3900,0.457
1.4000,0.461
1.4100,0.464
1.4200,0.467
1.4300,0.470
1.4400,0.473
1.4500,0.477
1.4600,0.482
1.4700,0.487
1.4800,0.492
1.4900,0.497
1.5000,0.503
1.5100,0.508
1.5200,0.514
1.5300,0.520
1.5400,0.525
1.5500,0.531
1.5600,0.536
1.5700,0.542
1.5800,0.548
1.5900,0.555
1.6000,0.562
1.6100,0.567
1.6200,0.571
1.6300,0.577
1.6400,0.582
1.6500,0.589
1.6600,0.595
1.6700,0.601
1.6800,0.607
1.6900,0.614
1.7000,0.620
1.7100,0.626
1.7200,0.631
1.7300,0.634
1.7400,0.638
1.7500,0.642
1.7600,0.646
1.7700,0.651
1.7800,0.655
1.7900,0.660
1.8000,0.666
1.8100,0.672
1.8200,0.680
1.8300,0.686
1.8400,0.694
1.8500,0.700
1.8600,0.706
1.8700,0.714
1.8800,0.720
1.8900,0.728
1.9000,0.734
1.9100,0.742
1.9200,0.748
1.9300,0.756
1.9400,0.764
1.9500,0.770
1.9600,0.778
1.9700,0.784
1.9800,0.792
1.9900,0.800
2.0000,0.807
2.0100,0.815
2.0200,0.823
2.0300,0.829
2.0400,0.837
2.0500,0.846
2.0600,0.854
2.0700,0.862
2.0800,0.869
2.0900,0.877
2.1000,0.885
2.1100,0.891
2.1200,0.899
2.1300,0.906
2.1400,0.912
2.1500,0.918
2.1600,0.924
2.1700,0.931
2.1800,0.939
2.1900,0.945
2.2000,0.952
2.2100,0.960
2.2200,0.967
2.2300,0.976
2.2400,0.984
2.2500,0.991
2.2600,0.999
2.2700,1.006
2.2800,1.015
2.2900,1.023
2.3000,1.030
2.3100,1.039
2.3200,1.046
2.3300,1.054
2.3400,1.062
2.3500,1.069
2.3600,1.078
2.3700,1.085
2.3800,1.094
2.3900,1.102
2.4000,1.109
2.4100,1.118
2.4200,1.125
2.4300,1.134
2.4400,1.140
2.4500,1.149
2.4600,1.159
2.4700,1.165
2.4800,1.174
2.4900,1.184
2.5000,1.188
2.5063,1.194
2.5126,1.199
2.5189,1.205
2.5253,1.211
2.5316,1.216
2.5381,1.222
2.5445,1.227
2.5510,1.232
2.5575,1.237
2.5641,1.242
2.5707,1.248
2.5773,1.253
2.5840,1.259
2.5907,1.264
2.5974,1.269
2.6042,1.275
2.6110,1.280
2.6178,1.285
2.6247,1.290
2.6316,1.296
2.6385,1.301
2.6455,1.306
2.6525,1.312
2.6596,1.317
2.6667,1.323
2.6738,1.329
2.6810,1.334
2.6882,1.340
2.6954,1.345
2.7027,1.351
2.7100,1.357
2.7174,1.363
2.7248,1.370
2.7322,1.376
2.7397,1.382
2.7473,1.388
2.7548,1.395
2.7624,1.401
2.7701,1.408
2.7778,1.414
2.7855,1.421
2.7933,1.427
2.8011,1.434
2.8090,1.441
2.8169,1.448
2.8249,1.456
2.8329,1.464
2.8409,1.471
2.8490,1.478
2.8571,1.485
2.8653,1.494
2.8736,1.502
2.8818,1.509
2.8902,1.516
2.8986,1.524
2.9070,1.533
2.9155,1.541
2.9240,1.549
2.9326,1.557
2.9412,1.565
2.9499,1.574
2.9586,1.583
2.9674,1.592
2.9762,1.601
2.9851,1.609
2.9940,1.618
3.0030,1.626
3.0120,1.636
3.0211,1.645
3.0303,1.655
3.0395,1.663
3.0488,1.672
3.0581,1.681
3.0675,1.691
3.0769,1.701
3.0864,1.712
3.0960,1.722
3.1056,1.732
3.1153,1.741
3.1250,1.750
3.1348,1.760
3.1447,1.771
3.1546,1.782
3.1646,1.793
3.1746,1.804
3.1847,1.815
3.1949,1.825
3.2051,1.835
3.2154,1.845
3.2258,1.857
3.2362,1.869
3.2468,1.881
3.2573,1.893
3.2680,1.905
3.2787,1.917
3.2895,1.929
3.3003,1.942
3.3113,1.954
3.3223,1.967
3.3333,1.980
3.3445,1.993
3.3557,2.006
3.3670,2.019
3.3784,2.032
3.3898,2.046
3.4014,2.059
3.4130,2.073
3.4247,2.086
3.4364,2.100
3.4483,2.114
3.4602,2.127
3.4722,2.140
3.4843,2.152
3.4965,2.165
3.5088,2.180
3.5211,2.194
3.5336,2.209
3.5461,2.224
3.5587,2.239
3.5714,2.252
3.5842,2.266
3.5971,2.280
3.6101,2.295
3.6232,2.310
3.6364,2.325
3.6496,2.339
3.6630,2.354
3.6765,2.370
3.6900,2.387
3.7037,2.403
3.7175,2.418
3.7313,2.433
3.7453,2.449
3.7594,2.465
3.7736,2.481
3.7879,2.497
3.8023,2.514
3.8168,2.531
3.8314,2.549
3.8462,2.566
3.8610,2.582
3.8760,2.600
3.8911,2.618
3.9063,2.635
3.9216,2.653
3.9370,2.671
3.9526,2.689
3.9683,2.708
3.9841,2.726
4.0000,2.745
4.0161,2.764
4.0323,2.784
4.0486,2.802
4.0650,2.822
4.0816,2.843
4.0984,2.863
4.1152,2.883
4.1322,2.904
4.1494,2.926
4.1667,2.948
4.1841,2.969
4.2017,2.990
4.2194,3.012
4.2373,3.034
4.2553,3.057
4.2735,3.078
4.2918,3.102
4.3103,3.126
4.3290,3.150
4.3478,3.174
4.3668,3.197
4.3860,3.222
4.4053,3.247
4.4248,3.273
4.4444,3.298
4.4643,3.322
4.4843,3.348
4.5045,3.374
4.5249,3.400
4.5455,3.426
4.5662,3.453
4.5872,3.480
4.6083,3.508
4.6296,3.534
4.6512,3.561
4.6729,3.589
4.6948,3.617
4.7170,3.646
4.7393,3.676
